AMD Ryzen 5 PRO 4650U,15W
AMD Ryzen 3 PRO 4450U,15W
AMD Ryzen 7 PRO 3700U,15W
AMD Ryzen 5 PRO 3500U,15W
AMD Ryzen 3 PRO 3300U,15W
AMD Ryzen 7 PRO 1700X,95W
AMD Ryzen 7 PRO 1700,65W
AMD Ryzen 5 PRO 1600,65W
AMD Ryzen 5 PRO 1500,65W
AMD Ryzen 3 PRO 1300,65W
AMD Ryzen 3 PRO 1200,65W
AMD Ryzen 7 PRO 5850U,15W
AMD Ryzen 5 PRO 5650U,15W
AMD Ryzen 3 PRO 5450U,15W
AMD Ryzen 7 PRO 2700X,95W
AMD Ryzen 7 PRO 2700,65W
AMD Ryzen 5 PRO 2600,65W
AMD Ryzen 7 2700E,45W
AMD Ryzen 5 2600E,45W
AMD Ryzen 5 3450U,15W
AMD Ryzen 7 3750H,35W
AMD Ryzen 7 3700U,15W
AMD Ryzen 5 3550H,35W
AMD Ryzen 5 3500U,15W
AMD Ryzen 3 3350U,15W
AMD Ryzen 3 3300U,15W
AMD Ryzen 3 3200U,15W
AMD Ryzen Threadripper 3970X,280W
AMD Ryzen Threadripper 3960X,280W
AMD Ryzen 9 5950X,105W
AMD Ryzen 9 5900X,105W
AMD Ryzen 7 5800X,105W
AMD Ryzen 5 5600X,65W
AMD Ryzen 7 2700U,15W
AMD Ryzen 5 2500U,15W
AMD Ryzen Threadripper 2970WX,250W
AMD Ryzen Threadripper 2920X,180W
AMD Ryzen 9 3900 Processor ,65W
AMD Ryzen 7 3700C,15W
AMD Ryzen 5 3500C,15W
AMD Ryzen 3 3250C,15W
AMD Ryzen 7 2800H,45W
AMD Ryzen 5 2600H,45W
AMD Ryzen 5 2500X,65W
AMD Ryzen 3 2300X,65W
AMD Ryzen Threadripper 2950X,180W
AMD Ryzen Threadripper 1900X,180W
AMD Ryzen Threadripper 2990WX,250W
AMD Ryzen 9 3900XT,105W
AMD Ryzen 7 3800XT,105W
AMD Ryzen 5 3600XT,95W
AMD Ryzen Threadripper 1950X,180W
AMD Ryzen Threadripper 1920X,180W
AMD Ryzen 7 4700GE ,35W
AMD Ryzen 7 4700G ,65W
AMD Ryzen 5 4600GE ,35W
AMD Ryzen 5 4600G ,65W
AMD Ryzen 3 4300GE ,35W
AMD Ryzen 3 4300G ,65W
AMD Ryzen 9 3900X,105W
AMD Ryzen 7 3800X,105W
AMD Ryzen 7 3700X,65W
AMD Ryzen 5 3600X,95W
AMD Ryzen 5 3600,65W
AMD Ryzen 5 3400G,65W
AMD Ryzen 3 3200G,65W
AMD Ryzen 5 3400GE,35W
AMD Ryzen 3 3200GE,35W
AMD Ryzen 7 5700GE,35W
AMD Ryzen 7 5700G,65W
AMD Ryzen 5 5600GE,35W
AMD Ryzen 5 5600G,65W
AMD Ryzen 3 5300GE,35W
AMD Ryzen 3 5300G,65W
AMD Ryzen 5 1600X,95W
AMD Ryzen 5 1600,65W
AMD Ryzen 5 1500X,65W
AMD Ryzen 5 1400,65W
AMD Ryzen 9 4900H,35W
AMD Ryzen 7 1800X,95W
AMD Ryzen 7 1700X,95W
AMD Ryzen 7 1700,65W
AMD Ryzen Threadripper 3990X,280W
AMD Ryzen 9 5900 ,65W
AMD Ryzen 9 5980HX,45W
AMD Ryzen 9 5980HS,35W
AMD Ryzen 9 5900HX,45W
AMD Ryzen 9 5900HS,35W
AMD Ryzen 7 5800U,15W
AMD Ryzen 7 5800HS,35W
AMD Ryzen 7 5800H,45W
AMD Ryzen 7 5800 ,65W
AMD Ryzen 7 5700U,15W
AMD Ryzen 5 5600U,15W
AMD Ryzen 5 5600HS,35W
AMD Ryzen 5 5600H,45W
AMD Ryzen 5 5500U,15W
AMD Ryzen 3 5400U,15W
AMD Ryzen 3 5300U,15W
AMD Ryzen 3 2300U,15W
AMD Ryzen 3 2200U,15W
AMD Ryzen 7 4800U,15W
AMD Ryzen 7 4800H,45W
AMD Ryzen 7 4700U,15W
AMD Ryzen 5 4600U,15W
AMD Ryzen 5 4600H,45W
AMD Ryzen 5 4500U,15W
AMD Ryzen 3 4300U,15W
AMD Ryzen 3 3250U,15W
AMD Ryzen 3 1300X,65W
AMD Ryzen 3 1200,65W
AMD Ryzen 3 3300X,65W
AMD Ryzen 3 3100,65W
AMD Ryzen 7 2700X,105W
AMD Ryzen 7 2700,65W
AMD Ryzen 5 2600X,95W
AMD Ryzen 5 2600,65W
AMD Ryzen 5 2400GE,35W
AMD Ryzen 3 2200GE,35W
AMD Ryzen 5 2400G,65W
AMD Ryzen 3 2200G,65W
AMD Ryzen 9 3950X,105W
AMD Ryzen 9 4900HS,35W
AMD Ryzen 7 4800HS,45W
AMD Ryzen 5 3500,65W
AMD Ryzen 5 1600 (AF),65W
AMD Ryzen 7 3780U,15W
AMD Ryzen 5 3580U,15W
Sempron 3850 APU,25W
